收款商户号,支付记录编号,支付时间,支付金额,收入金额,通道号,银行支付记录编号,成功日期,清算勾兑日期,内扣手续费,外扣手续费,对账类型,记录生成日期,
20121114018,20130328133342,2013/3/28 14:46:20,3000,17.88,104,,2013/3/28 14:46:20,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133338,2013/3/28 14:46:12,4000,23.84,104,,2013/3/28 14:46:12,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133336,2013/3/28 14:45:59,5000,29.8,104,,2013/3/28 14:45:59,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133335,2013/3/28 14:45:55,1000,5.96,104,,2013/3/28 14:45:56,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133328,2013/3/28 14:44:58,100000,596,104,,2013/3/28 14:44:59,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133326,2013/3/28 14:44:45,23000,137.08,104,,2013/3/28 14:44:46,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133316,2013/3/28 14:44:00,20000,119.2,104,,2013/3/28 14:44:00,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133313,2013/3/28 14:43:35,6000,35.76,104,,2013/3/28 14:43:36,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133312,2013/3/28 14:43:21,30000,178.8,104,,2013/3/28 14:43:21,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133306,2013/3/28 14:42:32,6000,35.76,104,,2013/3/28 14:42:33,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133305,2013/3/28 14:42:09,50000,298,104,,2013/3/28 14:42:09,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133303,2013/3/28 14:42:01,15000,89.4,104,,2013/3/28 14:42:02,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133299,2013/3/28 14:41:43,4300,25.628,104,,2013/3/28 14:41:43,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133296,2013/3/28 14:41:19,10000,59.6,104,,2013/3/28 14:41:20,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133290,2013/3/28 14:40:25,10000,59.6,104,,2013/3/28 14:40:26,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133287,2013/3/28 14:40:12,30000,178.8,104,,2013/3/28 14:40:12,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133275,2013/3/28 14:37:58,15000,89.4,104,,2013/3/28 14:37:59,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133271,2013/3/28 14:37:25,10000,59.6,104,,2013/3/28 14:37:26,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133266,2013/3/28 14:36:34,5000,29.8,104,,2013/3/28 14:36:35,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133255,2013/3/28 14:34:06,3000,17.88,104,,2013/3/28 14:34:07,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133249,2013/3/28 14:33:07,2000,11.92,104,,2013/3/28 14:33:07,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133246,2013/3/28 14:32:48,3000,17.88,104,,2013/3/28 14:32:49,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133240,2013/3/28 14:31:51,1000,5.96,104,,2013/3/28 14:31:51,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133227,2013/3/28 14:29:20,10000,59.6,104,,2013/3/28 14:29:21,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133222,2013/3/28 14:28:30,1500,8.94,104,,2013/3/28 14:28:30,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133219,2013/3/28 14:28:05,5000,29.8,104,,2013/3/28 14:28:06,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133218,2013/3/28 14:28:01,3000,17.88,104,,2013/3/28 14:28:01,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133217,2013/3/28 14:27:51,10000,59.6,104,,2013/3/28 14:27:52,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133214,2013/3/28 14:27:25,500,2.98,104,,2013/3/28 14:27:26,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133208,2013/3/28 14:24:45,6000,35.76,104,,2013/3/28 14:24:45,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133202,2013/3/28 14:21:43,10000,59.6,104,,2013/3/28 14:21:44,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133201,2013/3/28 14:21:34,20000,119.2,104,,2013/3/28 14:21:34,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133200,2013/3/28 14:21:00,2000,11.92,104,,2013/3/28 14:21:01,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133192,2013/3/28 14:17:36,14000,83.44,104,,2013/3/28 14:17:37,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133187,2013/3/28 14:15:44,5000,29.8,104,,2013/3/28 14:15:44,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133179,2013/3/28 14:11:58,5000,29.8,104,,2013/3/28 14:11:59,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133171,2013/3/28 14:08:12,5000,29.8,104,,2013/3/28 14:08:12,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133156,2013/3/28 14:03:04,10000,59.6,104,,2013/3/28 14:03:05,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133153,2013/3/28 14:01:53,10000,59.6,104,,2013/3/28 14:01:53,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133151,2013/3/28 14:00:29,100,0.596,104,,2013/3/28 14:00:30,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133149,2013/3/28 14:00:14,4500,26.82,104,,2013/3/28 14:00:15,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133146,2013/3/28 13:59:05,1000,5.96,104,,2013/3/28 13:59:06,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133141,2013/3/28 13:57:11,1100,6.556,104,,2013/3/28 13:57:12,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133140,2013/3/28 13:57:10,100,0.596,104,,2013/3/28 13:57:11,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133139,2013/3/28 13:57:10,10000,59.6,104,,2013/3/28 13:57:11,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133137,2013/3/28 13:55:20,500,2.98,104,,2013/3/28 13:55:21,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133130,2013/3/28 13:51:52,4000,23.84,104,,2013/3/28 13:51:53,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133128,2013/3/28 13:51:19,1000,5.96,104,,2013/3/28 13:51:19,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133126,2013/3/28 13:47:38,4000,23.84,104,,2013/3/28 13:47:39,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133123,2013/3/28 13:47:23,2000,11.92,104,,2013/3/28 13:47:23,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133121,2013/3/28 13:46:58,1000,5.96,104,,2013/3/28 13:46:58,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133118,2013/3/28 13:45:58,300,1.788,104,,2013/3/28 13:45:58,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133104,2013/3/28 13:35:56,1000,5.96,104,,2013/3/28 13:35:56,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133098,2013/3/28 13:31:14,1500,8.94,104,,2013/3/28 13:31:15,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133093,2013/3/28 13:27:44,6000,35.76,104,,2013/3/28 13:27:44,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133088,2013/3/28 13:26:06,1000,5.96,104,,2013/3/28 13:26:06,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133080,2013/3/28 13:23:07,1000,5.96,104,,2013/3/28 13:23:07,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133076,2013/3/28 13:21:43,1000,5.96,104,,2013/3/28 13:21:44,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133073,2013/3/28 13:20:10,30000,178.8,104,,2013/3/28 13:20:10,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133070,2013/3/28 13:17:21,10000,59.6,104,,2013/3/28 13:17:21,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133069,2013/3/28 13:16:45,1000,5.96,104,,2013/3/28 13:16:46,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133063,2013/3/28 13:15:06,20000,119.2,104,,2013/3/28 13:15:07,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133061,2013/3/28 13:12:31,20000,119.2,104,,2013/3/28 13:12:31,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328133019,2013/3/28 12:47:17,4000,23.84,104,,2013/3/28 12:47:18,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132982,2013/3/28 12:20:41,3000,17.88,104,,2013/3/28 12:20:41,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132972,2013/3/28 12:11:05,2000,11.92,104,,2013/3/28 12:11:06,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132970,2013/3/28 12:11:03,10000,59.6,104,,2013/3/28 12:11:04,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132960,2013/3/28 12:02:00,100,0.596,104,,2013/3/28 12:02:00,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132959,2013/3/28 12:01:54,3000,17.88,104,,2013/3/28 12:01:55,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132946,2013/3/28 11:41:15,15000,89.4,104,,2013/3/28 11:41:15,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132941,2013/3/28 11:39:17,1000,5.96,104,,2013/3/28 11:39:18,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132939,2013/3/28 11:38:35,1000,5.96,104,,2013/3/28 11:38:36,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132938,2013/3/28 11:38:33,75000,447,104,,2013/3/28 11:38:34,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132937,2013/3/28 11:38:12,5000,29.8,104,,2013/3/28 11:38:12,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132936,2013/3/28 11:37:33,1500,8.94,104,,2013/3/28 11:37:33,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132933,2013/3/28 11:35:36,5000,29.8,104,,2013/3/28 11:35:37,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132916,2013/3/28 11:13:10,100,0.596,104,,2013/3/28 11:13:10,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132915,2013/3/28 11:13:08,100,0.596,104,,2013/3/28 11:13:09,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132914,2013/3/28 11:13:07,100,0.596,104,,2013/3/28 11:13:08,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132913,2013/3/28 11:13:06,100,0.596,104,,2013/3/28 11:13:06,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132912,2013/3/28 11:13:04,100,0.596,104,,2013/3/28 11:13:05,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132911,2013/3/28 11:13:03,1000,5.96,104,,2013/3/28 11:13:03,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132910,2013/3/28 11:13:01,100,0.596,104,,2013/3/28 11:13:02,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132909,2013/3/28 11:13:00,200,1.192,104,,2013/3/28 11:13:00,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132908,2013/3/28 11:12:59,100,0.596,104,,2013/3/28 11:12:59,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132907,2013/3/28 11:12:57,1000,5.96,104,,2013/3/28 11:12:58,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132895,2013/3/28 11:12:19,1000,5.96,104,,2013/3/28 11:12:20,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132883,2013/3/28 11:05:54,1000,5.96,104,,2013/3/28 11:05:54,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132882,2013/3/28 11:03:28,8000,47.68,104,,2013/3/28 11:03:29,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132862,2013/3/28 10:52:17,10000,59.6,104,,2013/3/28 10:52:18,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132856,2013/3/28 10:50:48,100000,596,104,,2013/3/28 10:50:49,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132846,2013/3/28 10:46:45,5000,29.8,104,,2013/3/28 10:46:46,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132843,2013/3/28 10:45:38,1000,5.96,104,,2013/3/28 10:45:38,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132840,2013/3/28 10:44:26,1000,5.96,104,,2013/3/28 10:44:27,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132836,2013/3/28 10:39:27,1000,5.96,104,,2013/3/28 10:39:28,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132832,2013/3/28 10:37:51,1000,5.96,104,,2013/3/28 10:37:52,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132825,2013/3/28 10:30:51,1500,8.94,104,,2013/3/28 10:30:52,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132823,2013/3/28 10:30:24,1000,5.96,104,,2013/3/28 10:30:25,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132816,2013/3/28 10:25:36,60000,357.6,104,,2013/3/28 10:25:37,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132805,2013/3/28 10:16:40,1000,5.96,104,,2013/3/28 10:16:41,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132801,2013/3/28 10:13:19,9900,59.004,104,,2013/3/28 10:13:19,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132799,2013/3/28 10:10:04,4000,23.84,104,,2013/3/28 10:10:05,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132794,2013/3/28 10:04:10,1000,5.96,104,,2013/3/28 10:04:10,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132793,2013/3/28 10:03:26,1000,5.96,104,,2013/3/28 10:03:27,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132792,2013/3/28 10:01:38,18500,110.26,104,,2013/3/28 10:01:38,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132787,2013/3/28 9:51:44,1000,5.96,104,,2013/3/28 9:51:44,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132776,2013/3/28 9:38:14,100,0.596,104,,2013/3/28 9:38:15,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132757,2013/3/28 9:23:25,1000,5.96,104,,2013/3/28 9:23:26,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132756,2013/3/28 9:22:36,1000,5.96,104,,2013/3/28 9:22:36,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132754,2013/3/28 9:11:34,500,2.98,104,,2013/3/28 9:11:35,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132752,2013/3/28 9:11:15,100,0.596,104,,2013/3/28 9:11:16,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132741,2013/3/28 9:10:06,300,1.788,104,,2013/3/28 9:10:06,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132740,2013/3/28 9:09:58,250,1.49,104,,2013/3/28 9:09:58,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132736,2013/3/28 9:09:41,500,2.98,104,,2013/3/28 9:09:42,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132733,2013/3/28 9:09:22,300,1.788,104,,2013/3/28 9:09:23,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132732,2013/3/28 9:09:20,500,2.98,104,,2013/3/28 9:09:21,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132727,2013/3/28 9:08:37,500,2.98,104,,2013/3/28 9:08:37,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132722,2013/3/28 9:08:15,500,2.98,104,,2013/3/28 9:08:15,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132719,2013/3/28 9:08:04,200,1.192,104,,2013/3/28 9:08:04,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132718,2013/3/28 9:07:41,600,3.576,104,,2013/3/28 9:07:42,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132715,2013/3/28 9:07:36,1000,5.96,104,,2013/3/28 9:07:37,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132713,2013/3/28 9:07:26,100,0.596,104,,2013/3/28 9:07:27,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132709,2013/3/28 9:06:44,100,0.596,104,,2013/3/28 9:06:45,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132701,2013/3/28 9:05:26,100,0.596,104,,2013/3/28 9:05:27,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132694,2013/3/28 9:04:22,200,1.192,104,,2013/3/28 9:04:23,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132689,2013/3/28 9:03:34,200,1.192,104,,2013/3/28 9:03:35,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132682,2013/3/28 9:02:32,100,0.596,104,,2013/3/28 9:02:33,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132681,2013/3/28 9:02:30,200,1.192,104,,2013/3/28 9:02:31,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132678,2013/3/28 9:02:05,200,1.192,104,,2013/3/28 9:02:06,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132675,2013/3/28 9:01:53,100,0.596,104,,2013/3/28 9:01:54,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132672,2013/3/28 9:01:43,100,0.596,104,,2013/3/28 9:01:43,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132666,2013/3/28 9:01:08,100,0.596,104,,2013/3/28 9:01:08,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132665,2013/3/28 9:00:38,200,1.192,104,,2013/3/28 9:00:39,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132664,2013/3/28 9:00:36,200,1.192,104,,2013/3/28 9:00:37,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132661,2013/3/28 9:00:18,200,1.192,104,,2013/3/28 9:00:18,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
20121114018,20130328132659,2013/3/28 8:59:56,200,1.192,104,,2013/3/28 8:59:57,2013/3/28 0:00:00,,,1,2013/3/29 9:44:43,
