收款商户号,支付记录编号,支付时间,支付金额,收入金额,通道号,银行支付记录编号,成功日期,清算勾兑日期,内扣手续费,外扣手续费,对账类型,记录生成日期,
20121114018,20130326131698,2013/3/26 14:50:02,28000,166.88,104,,2013/3/26 14:50:03,2013/3/26 0:00:00,,,1,2013/3/27 9:42:48,
20121114018,20130326131696,2013/3/26 14:49:45,1000,5.96,104,,2013/3/26 14:49:46,2013/3/26 0:00:00,,,1,2013/3/27 9:42:48,
20121114018,20130326131692,2013/3/26 14:49:02,3000,17.88,104,,2013/3/26 14:49:03,2013/3/26 0:00:00,,,1,2013/3/27 9:42:48,
20121114018,20130326131691,2013/3/26 14:49:01,2000,11.92,104,,2013/3/26 14:49:01,2013/3/26 0:00:00,,,1,2013/3/27 9:42:48,
20121114018,20130326131682,2013/3/26 14:47:54,1000,5.96,104,,2013/3/26 14:47:55,2013/3/26 0:00:00,,,1,2013/3/27 9:42:48,
20121114018,20130326131681,2013/3/26 14:47:51,2000,11.92,104,,2013/3/26 14:47:52,2013/3/26 0:00:00,,,1,2013/3/27 9:42:48,
20121114018,20130326131678,2013/3/26 14:47:11,19000,113.24,104,,2013/3/26 14:47:11,2013/3/26 0:00:00,,,1,2013/3/27 9:42:48,
20121114018,20130326131670,2013/3/26 14:45:24,1000,5.96,104,,2013/3/26 14:45:24,2013/3/26 0:00:00,,,1,2013/3/27 9:42:48,
20121114018,20130326131658,2013/3/26 14:44:02,4000,23.84,104,,2013/3/26 14:44:02,2013/3/26 0:00:00,,,1,2013/3/27 9:42:48,
20121114018,20130326131657,2013/3/26 14:43:59,30000,178.8,104,,2013/3/26 14:44:00,2013/3/26 0:00:00,,,1,2013/3/27 9:42:48,
20121114018,20130326131654,2013/3/26 14:43:32,2000,11.92,104,,2013/3/26 14:43:33,2013/3/26 0:00:00,,,1,2013/3/27 9:42:48,
20121114018,20130326131651,2013/3/26 14:42:33,5000,29.8,104,,2013/3/26 14:42:33,2013/3/26 0:00:00,,,1,2013/3/27 9:42:48,
20121114018,20130326131647,2013/3/26 14:42:12,2000,11.92,104,,2013/3/26 14:42:13,2013/3/26 0:00:00,,,1,2013/3/27 9:42:48,
