收款商户号,支付记录编号,出款产品类型,出款金额,收入金额,银行接口编号,银行成功日期,内扣银行手续费,外扣银行手续费,记录生成日期
20121114018,20130326022445,2,3303.74,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022472,2,2001.24,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022471,2,500.28,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022463,2,10015.09,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022450,2,19526.12,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022417,2,101.12,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022473,2,1001.05,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022455,2,3003.41,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022413,2,101.61,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022466,2,100.1,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022470,2,1001.06,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022464,2,5004.89,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022447,2,1000.97,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022425,2,2000.75,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022456,2,6005.33,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022446,2,30009.69,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022409,2,1016.74,2,800002,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022429,2,2022.51,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
20121114018,20130326022430,2,2022.92,2,800001,2013/3/26 0:00:00,,,2013/3/27 0:00:00
